source,target
コンピュータリテラシー_0,コンピュータリテラシー_1
コンピュータリテラシー_0,コンピュータリテラシー_6
コンピュータリテラシー_0,コンピュータリテラシー_11
コンピュータリテラシー_0,コンピュータリテラシー_16
コンピュータリテラシー_0,コンピュータリテラシー_21
コンピュータリテラシー_0,コンピュータリテラシー_26
コンピュータリテラシー_1,コンピュータリテラシー_2
コンピュータリテラシー_1,コンピュータリテラシー_3
コンピュータリテラシー_1,コンピュータリテラシー_4
コンピュータリテラシー_1,コンピュータリテラシー_5
コンピュータリテラシー_6,コンピュータリテラシー_7
コンピュータリテラシー_6,コンピュータリテラシー_8
コンピュータリテラシー_6,コンピュータリテラシー_9
コンピュータリテラシー_6,コンピュータリテラシー_10
コンピュータリテラシー_11,コンピュータリテラシー_12
コンピュータリテラシー_11,コンピュータリテラシー_13
コンピュータリテラシー_11,コンピュータリテラシー_14
コンピュータリテラシー_11,コンピュータリテラシー_15
コンピュータリテラシー_16,コンピュータリテラシー_17
コンピュータリテラシー_16,コンピュータリテラシー_18
コンピュータリテラシー_16,コンピュータリテラシー_19
コンピュータリテラシー_16,コンピュータリテラシー_20
コンピュータリテラシー_21,コンピュータリテラシー_22
コンピュータリテラシー_21,コンピュータリテラシー_23
コンピュータリテラシー_21,コンピュータリテラシー_24
コンピュータリテラシー_21,コンピュータリテラシー_25
コンピュータリテラシー_26,コンピュータリテラシー_27
コンピュータリテラシー_26,コンピュータリテラシー_28
コンピュータリテラシー_26,コンピュータリテラシー_29
