source,target
データマイニング_0,データマイニング_1
データマイニング_0,データマイニング_6
データマイニング_0,データマイニング_11
データマイニング_0,データマイニング_16
データマイニング_0,データマイニング_21
データマイニング_0,データマイニング_26
データマイニング_1,データマイニング_2
データマイニング_1,データマイニング_3
データマイニング_1,データマイニング_4
データマイニング_1,データマイニング_5
データマイニング_6,データマイニング_7
データマイニング_6,データマイニング_8
データマイニング_6,データマイニング_9
データマイニング_6,データマイニング_10
データマイニング_11,データマイニング_12
データマイニング_11,データマイニング_13
データマイニング_11,データマイニング_14
データマイニング_11,データマイニング_15
データマイニング_16,データマイニング_17
データマイニング_16,データマイニング_18
データマイニング_16,データマイニング_19
データマイニング_16,データマイニング_20
データマイニング_21,データマイニング_22
データマイニング_21,データマイニング_23
データマイニング_21,データマイニング_24
データマイニング_21,データマイニング_25
データマイニング_26,データマイニング_27
データマイニング_26,データマイニング_28
データマイニング_26,データマイニング_29
