source,target
マルチメディア処理（Ⅰ類）_0,マルチメディア処理（Ⅰ類）_1
マルチメディア処理（Ⅰ類）_0,マルチメディア処理（Ⅰ類）_6
マルチメディア処理（Ⅰ類）_0,マルチメディア処理（Ⅰ類）_11
マルチメディア処理（Ⅰ類）_0,マルチメディア処理（Ⅰ類）_16
マルチメディア処理（Ⅰ類）_0,マルチメディア処理（Ⅰ類）_21
マルチメディア処理（Ⅰ類）_0,マルチメディア処理（Ⅰ類）_26
マルチメディア処理（Ⅰ類）_1,マルチメディア処理（Ⅰ類）_2
マルチメディア処理（Ⅰ類）_1,マルチメディア処理（Ⅰ類）_3
マルチメディア処理（Ⅰ類）_1,マルチメディア処理（Ⅰ類）_4
マルチメディア処理（Ⅰ類）_1,マルチメディア処理（Ⅰ類）_5
マルチメディア処理（Ⅰ類）_6,マルチメディア処理（Ⅰ類）_7
マルチメディア処理（Ⅰ類）_6,マルチメディア処理（Ⅰ類）_8
マルチメディア処理（Ⅰ類）_6,マルチメディア処理（Ⅰ類）_9
マルチメディア処理（Ⅰ類）_6,マルチメディア処理（Ⅰ類）_10
マルチメディア処理（Ⅰ類）_11,マルチメディア処理（Ⅰ類）_12
マルチメディア処理（Ⅰ類）_11,マルチメディア処理（Ⅰ類）_13
マルチメディア処理（Ⅰ類）_11,マルチメディア処理（Ⅰ類）_14
マルチメディア処理（Ⅰ類）_11,マルチメディア処理（Ⅰ類）_15
マルチメディア処理（Ⅰ類）_16,マルチメディア処理（Ⅰ類）_17
マルチメディア処理（Ⅰ類）_16,マルチメディア処理（Ⅰ類）_18
マルチメディア処理（Ⅰ類）_16,マルチメディア処理（Ⅰ類）_19
マルチメディア処理（Ⅰ類）_16,マルチメディア処理（Ⅰ類）_20
マルチメディア処理（Ⅰ類）_21,マルチメディア処理（Ⅰ類）_22
マルチメディア処理（Ⅰ類）_21,マルチメディア処理（Ⅰ類）_23
マルチメディア処理（Ⅰ類）_21,マルチメディア処理（Ⅰ類）_24
マルチメディア処理（Ⅰ類）_21,マルチメディア処理（Ⅰ類）_25
マルチメディア処理（Ⅰ類）_26,マルチメディア処理（Ⅰ類）_27
マルチメディア処理（Ⅰ類）_26,マルチメディア処理（Ⅰ類）_28
マルチメディア処理（Ⅰ類）_26,マルチメディア処理（Ⅰ類）_29
