source,target
ユビキタスネットワーク_0,ユビキタスネットワーク_1
ユビキタスネットワーク_0,ユビキタスネットワーク_6
ユビキタスネットワーク_0,ユビキタスネットワーク_11
ユビキタスネットワーク_0,ユビキタスネットワーク_16
ユビキタスネットワーク_0,ユビキタスネットワーク_21
ユビキタスネットワーク_0,ユビキタスネットワーク_26
ユビキタスネットワーク_1,ユビキタスネットワーク_2
ユビキタスネットワーク_1,ユビキタスネットワーク_3
ユビキタスネットワーク_1,ユビキタスネットワーク_4
ユビキタスネットワーク_1,ユビキタスネットワーク_5
ユビキタスネットワーク_6,ユビキタスネットワーク_7
ユビキタスネットワーク_6,ユビキタスネットワーク_8
ユビキタスネットワーク_6,ユビキタスネットワーク_9
ユビキタスネットワーク_6,ユビキタスネットワーク_10
ユビキタスネットワーク_11,ユビキタスネットワーク_12
ユビキタスネットワーク_11,ユビキタスネットワーク_13
ユビキタスネットワーク_11,ユビキタスネットワーク_14
ユビキタスネットワーク_11,ユビキタスネットワーク_15
ユビキタスネットワーク_16,ユビキタスネットワーク_17
ユビキタスネットワーク_16,ユビキタスネットワーク_18
ユビキタスネットワーク_16,ユビキタスネットワーク_19
ユビキタスネットワーク_16,ユビキタスネットワーク_20
ユビキタスネットワーク_21,ユビキタスネットワーク_22
ユビキタスネットワーク_21,ユビキタスネットワーク_23
ユビキタスネットワーク_21,ユビキタスネットワーク_24
ユビキタスネットワーク_21,ユビキタスネットワーク_25
ユビキタスネットワーク_26,ユビキタスネットワーク_27
ユビキタスネットワーク_26,ユビキタスネットワーク_28
ユビキタスネットワーク_26,ユビキタスネットワーク_29
