source,target
数値計算_0,数値計算_1
数値計算_0,数値計算_6
数値計算_0,数値計算_11
数値計算_0,数値計算_18
数値計算_0,数値計算_26
数値計算_0,数値計算_30
数値計算_1,数値計算_2
数値計算_1,数値計算_3
数値計算_1,数値計算_4
数値計算_1,数値計算_5
数値計算_6,数値計算_7
数値計算_6,数値計算_8
数値計算_6,数値計算_9
数値計算_6,数値計算_10
数値計算_11,数値計算_12
数値計算_11,数値計算_13
数値計算_11,数値計算_14
数値計算_11,数値計算_15
数値計算_11,数値計算_16
数値計算_11,数値計算_17
数値計算_18,数値計算_19
数値計算_18,数値計算_20
数値計算_18,数値計算_21
数値計算_18,数値計算_22
数値計算_22,数値計算_23
数値計算_22,数値計算_24
数値計算_22,数値計算_25
数値計算_26,数値計算_27
数値計算_26,数値計算_28
数値計算_26,数値計算_29
数値計算_30,数値計算_31
数値計算_30,数値計算_32
