source,target
日本語と思考_0,日本語と思考_1
日本語と思考_0,日本語と思考_6
日本語と思考_0,日本語と思考_11
日本語と思考_0,日本語と思考_16
日本語と思考_0,日本語と思考_21
日本語と思考_0,日本語と思考_26
日本語と思考_1,日本語と思考_2
日本語と思考_1,日本語と思考_3
日本語と思考_1,日本語と思考_4
日本語と思考_1,日本語と思考_5
日本語と思考_6,日本語と思考_7
日本語と思考_6,日本語と思考_8
日本語と思考_6,日本語と思考_9
日本語と思考_6,日本語と思考_10
日本語と思考_11,日本語と思考_12
日本語と思考_11,日本語と思考_13
日本語と思考_11,日本語と思考_14
日本語と思考_11,日本語と思考_15
日本語と思考_16,日本語と思考_17
日本語と思考_16,日本語と思考_18
日本語と思考_16,日本語と思考_19
日本語と思考_16,日本語と思考_20
日本語と思考_21,日本語と思考_22
日本語と思考_21,日本語と思考_23
日本語と思考_21,日本語と思考_24
日本語と思考_21,日本語と思考_25
日本語と思考_26,日本語と思考_27
日本語と思考_26,日本語と思考_28
日本語と思考_26,日本語と思考_29
