source,target
物体認識論_0,物体認識論_1
物体認識論_0,物体認識論_6
物体認識論_0,物体認識論_11
物体認識論_0,物体認識論_16
物体認識論_0,物体認識論_21
物体認識論_0,物体認識論_27
物体認識論_1,物体認識論_2
物体認識論_1,物体認識論_3
物体認識論_1,物体認識論_4
物体認識論_1,物体認識論_5
物体認識論_6,物体認識論_7
物体認識論_6,物体認識論_8
物体認識論_6,物体認識論_9
物体認識論_6,物体認識論_10
物体認識論_11,物体認識論_12
物体認識論_11,物体認識論_13
物体認識論_11,物体認識論_14
物体認識論_11,物体認識論_15
物体認識論_16,物体認識論_17
物体認識論_16,物体認識論_18
物体認識論_16,物体認識論_19
物体認識論_16,物体認識論_20
物体認識論_21,物体認識論_22
物体認識論_21,物体認識論_23
物体認識論_21,物体認識論_24
物体認識論_21,物体認識論_25
物体認識論_21,物体認識論_26
物体認識論_27,物体認識論_28
物体認識論_27,物体認識論_29
