source,target
計算機通論_0,計算機通論_1
計算機通論_0,計算機通論_6
計算機通論_0,計算機通論_11
計算機通論_0,計算機通論_16
計算機通論_0,計算機通論_21
計算機通論_0,計算機通論_26
計算機通論_1,計算機通論_2
計算機通論_1,計算機通論_3
計算機通論_1,計算機通論_4
計算機通論_1,計算機通論_5
計算機通論_6,計算機通論_7
計算機通論_6,計算機通論_8
計算機通論_6,計算機通論_9
計算機通論_6,計算機通論_10
計算機通論_11,計算機通論_12
計算機通論_11,計算機通論_13
計算機通論_11,計算機通論_14
計算機通論_11,計算機通論_15
計算機通論_16,計算機通論_17
計算機通論_16,計算機通論_18
計算機通論_16,計算機通論_19
計算機通論_16,計算機通論_20
計算機通論_21,計算機通論_22
計算機通論_22,計算機通論_23
計算機通論_22,計算機通論_24
計算機通論_22,計算機通論_25
計算機通論_26,計算機通論_27
計算機通論_26,計算機通論_28
計算機通論_26,計算機通論_29
