from,to
輪講A_I類_0,輪講A_I類_1
輪講A_I類_0,輪講A_I類_2
輪講A_I類_0,輪講A_I類_3
輪講A_I類_0,輪講A_I類_4
輪講A_I類_1,輪講A_I類_5
輪講A_I類_1,輪講A_I類_6
輪講A_I類_1,輪講A_I類_7
輪講A_I類_5,輪講A_I類_8
輪講A_I類_5,輪講A_I類_9
輪講A_I類_6,輪講A_I類_10
輪講A_I類_6,輪講A_I類_11
輪講A_I類_7,輪講A_I類_12
輪講A_I類_2,輪講A_I類_13
輪講A_I類_13,輪講A_I類_14
輪講A_I類_13,輪講A_I類_15
輪講A_I類_14,輪講A_I類_16
輪講A_I類_14,輪講A_I類_17
輪講A_I類_15,輪講A_I類_18
輪講A_I類_3,輪講A_I類_19
輪講A_I類_19,輪講A_I類_20
輪講A_I類_19,輪講A_I類_23
輪講A_I類_20,輪講A_I類_21
輪講A_I類_20,輪講A_I類_22
輪講A_I類_23,輪講A_I類_24
輪講A_I類_23,輪講A_I類_25
輪講A_I類_4,輪講A_I類_26
輪講A_I類_26,輪講A_I類_27
輪講A_I類_26,輪講A_I類_28
輪講A_I類_26,輪講A_I類_29
