source,target
音声音響情報処理_0,音声音響情報処理_1
音声音響情報処理_0,音声音響情報処理_2
音声音響情報処理_0,音声音響情報処理_3
音声音響情報処理_0,音声音響情報処理_4
音声音響情報処理_0,音声音響情報処理_5
音声音響情報処理_0,音声音響情報処理_6
音声音響情報処理_0,音声音響情報処理_7
音声音響情報処理_0,音声音響情報処理_8
音声音響情報処理_0,音声音響情報処理_9
音声音響情報処理_4,音声音響情報処理_10
音声音響情報処理_4,音声音響情報処理_11
音声音響情報処理_4,音声音響情報処理_12
音声音響情報処理_4,音声音響情報処理_13
音声音響情報処理_4,音声音響情報処理_14
音声音響情報処理_5,音声音響情報処理_15
音声音響情報処理_5,音声音響情報処理_16
音声音響情報処理_5,音声音響情報処理_17
音声音響情報処理_6,音声音響情報処理_18
音声音響情報処理_6,音声音響情報処理_19
音声音響情報処理_6,音声音響情報処理_20
音声音響情報処理_7,音声音響情報処理_21
音声音響情報処理_7,音声音響情報処理_22
音声音響情報処理_7,音声音響情報処理_23
音声音響情報処理_7,音声音響情報処理_24
音声音響情報処理_8,音声音響情報処理_25
音声音響情報処理_8,音声音響情報処理_26
音声音響情報処理_8,音声音響情報処理_27
音声音響情報処理_9,音声音響情報処理_28
音声音響情報処理_9,音声音響情報処理_29
