source,target
音響信号処理_0,音響信号処理_1
音響信号処理_0,音響信号処理_6
音響信号処理_0,音響信号処理_11
音響信号処理_0,音響信号処理_15
音響信号処理_0,音響信号処理_20
音響信号処理_0,音響信号処理_25
音響信号処理_1,音響信号処理_2
音響信号処理_1,音響信号処理_3
音響信号処理_1,音響信号処理_4
音響信号処理_1,音響信号処理_5
音響信号処理_6,音響信号処理_7
音響信号処理_6,音響信号処理_8
音響信号処理_6,音響信号処理_9
音響信号処理_6,音響信号処理_10
音響信号処理_11,音響信号処理_12
音響信号処理_11,音響信号処理_13
音響信号処理_11,音響信号処理_14
音響信号処理_15,音響信号処理_16
音響信号処理_15,音響信号処理_17
音響信号処理_15,音響信号処理_18
音響信号処理_15,音響信号処理_19
音響信号処理_20,音響信号処理_21
音響信号処理_20,音響信号処理_22
音響信号処理_20,音響信号処理_23
音響信号処理_20,音響信号処理_24
音響信号処理_25,音響信号処理_26
音響信号処理_25,音響信号処理_27
音響信号処理_25,音響信号処理_28
音響信号処理_25,音響信号処理_29
